id,sku,short_description,Tên SP,price,Quantity_sold,list_price,price_usd,discount,discount_rate,review_count,order_count,inventory_status,is_visible,rating_avg,brand_name,Date
93395071,1899254877376,"Vì sao phải lắp đặt máy bơm thoát nước ngưng cho điều hòa ?Khi máy điều hòa treo tường được lắp đặt ở các vị trí khó (không lắp được ống nước xả thải), không có độ cao chênh lệch để thoát nước ngưng ...",Máy bơm xả nước cho máy lạnh,869500,10.0,910000,,40500,4,3,,available,,5.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
73624051,3042342502054,"Thuận tiện hơn trong việc lắp đặt với bộ chia kích thước trên sản phẩmKhông chỉ dễ dàng lắp đặt, bộ sản phẩm chân đế máy giặt này còn có thước dây đi kèm, giúp bạn có thể đo đạc, điều chỉnh chính xác...","Chân kê tủ lạnh , máy giặt cao cấp tùy chỉnh kích thước từ 42- 90cm",429000,35.0,429000,,0,0,5,,available,,3.8,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
33425754,4182943290277,Tấm Chắn Gió Máy Lạnh Âm Trần ( Tấm cản gió máy lạnh âm trần)Lưu ý : 1 Bộ sản phẩm gồm : 1 cánh chắn gió cho 1 cửa ra của máy âm trầnkhi làm việc thường xuyên và liên tục trong phòng lạnh có sử dụn...,Tấm chắn gió máy lạnh âm trần dành cho dân văn phòng,292000,554.0,292000,,0,0,41,,available,,4.5,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
102108778,4523752439293,Chức năng chính:- Hiển thị thời gian- Màn hình hiển thị nhiệt độ- Chế độ điều chỉnh nhiệt độ trong bồn bảo ôn tự động theo 3 khoảng thời gian trong ngày- Chức năng hẹn giờ đun nhiệt được cài đặt ...,SR609C Bộ điều khiển nhiệt độ thông minh tích hợp điều áp Máy Nước Nóng Năng Lượng Mặt Trời,1800000,,1800000,,0,0,0,,available,,0.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
13743101,3738765503425,"Thiết kế đơn giản, lắp ráp nhanh chóng tại nhàChỉ trong thời gian ngắn, bạn sẽ có ngay một chiếc giá đỡ chắc chắn, giúp cho việc làm vệ sinh gầm tủ lạnh hay máy giặt trở nên nhanh chóng, hiệu quả.Th...",Kệ chân đế máy giặt tủ lạnh inox cao cấp 55x77cm INOX dày 1mm,382000,813.0,382000,,0,0,140,,available,,4.6,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
4374799,4857976528665,"GIÁ TREO GÓC LCD, LED, PLASMA P4 là sản phẩm của nhà sản xuất North Bayou. Được sản xuất trên dây chuyền công nghệ cao, đạt tiêu chuẩn kĩ thuật thế giới và được phép xuất khẩu sang các nước Châu Âu. P...",Giá Treo Tivi Góc Xoay Nhập Khẩu North Bayou P4 (32-55inch) ,485000,61.0,535000,,50000,9,6,,available,,5.0,"{'id': 168073, 'name': 'North Bayou', 'slug': 'north-bayou'}",2022-12-30
153027455,2134066084843,MÔ TẢ SẢN PHẨM :SET 4 MIẾNG CHÂN MÁY GIẶT CHỐNG RUNG CHỐNG ỒN HIỆU QUẢPHÙ HỢP MỌI LOẠI MÁYCHIỀU CAO ĐỦ TẠO KHÔNG GIAN QUÉT DỌN GẦM MÁY GIẶTVừa tất cả các chân máy giặt của các đời máy1 bộ 4 chiếcĐược...,Chân Đế Máy Giặt Đa Năng Chống Rung Lắc Cao Cấp,28000,46.0,28000,,0,0,8,,available,,4.5,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
196827628,6693373734336,"Thiết kế tinh tế, loa âm thanh sống độngTivi Xiaomi A2 32 inch sở hữu ngoại hình hiện đại, tinh tế và viền màn hình siêu mỏng. Đây là một trong những chiếc Tivi sáng giá của nhà Xiaomi, bởi trang bị ...",Android Tivi Xiaomi HD 32 inch A2 L32M7-EAVN - Model 2022,3619300,123.0,4900000,,1280700,26,34,,available,,4.6,"{'id': 25422, 'name': 'Xiaomi', 'slug': 'xiaomi'}",2022-12-30
97823773,5959632157553,Remote điều khiển được nhiều model Smart TV SamsungChức năng nhận lệnh bằng giọng nóiTốc độ phản hồi nhanhTặng kèm pin AAA MaxellLoại sản phẩm: Smart remote điều khiển từ xa TVThương hiệu TV tương...,"Remote Điều Khiển TV Giọng Nói Dành Cho SAMSUNG Smart Tivi 4K, QLED - Grade A",255000,83.0,285000,,30000,11,15,,available,,4.0,"{'id': 111461, 'name': 'OEM', 'slug': 'oem'}",2022-12-30
78288496,3635977189362,...,"Smart TV TCL Android 8.0 40 inch Full HD .wifi - 40L61 - HDR Dolby, Chromecast, T-cast, AI+IN., Màn hình tràn viền",4891000,179.0,7490000,,2599000,35,39,,available,,5.0,"{'id': 27932, 'name': 'TCL', 'slug': 'tcl'}",2022-12-30
